cantidad,formato,tiempo_escritura_segundos,tiempo_lectura_segundos,tamano_mb,registros_leidos,facilidad_procesamiento,facilidad_visualizacion,flexibilidad
1000,CSV,0.02,0.01,0.07,1000,Alta,Alta,Media
1000,JSON,0.03,0.01,0.2,1000,Media,Media,Alta
